USE_MM,SBWY_ROUT_LN_NM,STTN,JOB_YMD,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE
202407,2호선,왕십리(성동구청),20240803,709.0,2.0,6359.0,878.0,10222.0,9082.0,27081.0,14806.0,47392.0,29131.0,29847.0,21820.0,19261.0,15417.0,18673.0,17079.0,22424.0,18689.0,22669.0,20188.0,22721.0,20499.0,25811.0,22547.0,31769.0,26772.0,35403.0,37910.0,36393.0,59891.0,22860.0,35060.0,21828.0,21972.0,25090.0,19870.0,24134.0,20152.0,13417.0,12051.0,2576.0,4758.0,0.0,7.0,0.0,0.0,0.0,0.0
202407,2호선,뚝섬,20240803,15.0,1.0,3878.0,2946.0,9760.0,20222.0,20055.0,45552.0,27834.0,151153.0,17822.0,103985.0,15613.0,46891.0,17595.0,36928.0,22785.0,36791.0,27426.0,38227.0,32624.0,34605.0,40392.0,34927.0,52729.0,36951.0,88949.0,41601.0,144940.0,51428.0,71619.0,29584.0,51787.0,16120.0,45358.0,13654.0,28122.0,12116.0,10404.0,7889.0,1533.0,2703.0,2.0,26.0,0.0,0.0,0.0,0.0
202407,2호선,성수,20240803,86.0,2.0,5993.0,4353.0,9094.0,35753.0,23492.0,80902.0,31432.0,281387.0,24821.0,168757.0,22932.0,90314.0,26664.0,78717.0,36743.0,81073.0,47883.0,82984.0,59216.0,81328.0,74138.0,77946.0,94288.0,75730.0,160373.0,78189.0,278654.0,81896.0,133488.0,47989.0,103528.0,24411.0,83765.0,18684.0,55679.0,15706.0,22965.0,11609.0,3504.0,6157.0,0.0,1060.0,0.0,0.0,0.0,0.0
202407,3호선,옥수,20240803,186.0,3.0,3464.0,1022.0,10024.0,4442.0,24264.0,7854.0,33600.0,13370.0,22485.0,11140.0,15795.0,8709.0,13860.0,10398.0,13520.0,11510.0,13599.0,13069.0,13624.0,13716.0,13712.0,16037.0,15074.0,18996.0,16961.0,25615.0,17130.0,36536.0,11408.0,25493.0,9422.0,16629.0,8701.0,14935.0,5800.0,14108.0,2502.0,6804.0,470.0,1885.0,1.0,1.0,0.0,0.0,0.0,0.0
202407,5호선,행당,20240803,22.0,0.0,4209.0,734.0,12363.0,2588.0,34161.0,5121.0,46060.0,9886.0,22385.0,6882.0,14260.0,5511.0,12325.0,6633.0,12128.0,7840.0,11316.0,8854.0,9516.0,10183.0,10371.0,11919.0,10359.0,14849.0,10696.0,20153.0,10487.0,33909.0,6875.0,21400.0,5222.0,13851.0,3851.0,13071.0,3152.0,11656.0,1120.0,6367.0,215.0,1925.0,0.0,0.0,0.0,0.0,0.0,0.0
202407,5호선,왕십리(성동구청),20240803,64.0,0.0,2164.0,579.0,2355.0,3378.0,6478.0,6954.0,9419.0,19374.0,5307.0,10045.0,4814.0,7626.0,5441.0,7805.0,6187.0,8301.0,6314.0,9360.0,7209.0,8973.0,8054.0,8648.0,10057.0,9704.0,11510.0,12288.0,15495.0,18821.0,8885.0,10210.0,8224.0,5767.0,8639.0,5123.0,7410.0,4229.0,3032.0,2661.0,622.0,1733.0,1.0,310.0,0.0,0.0,0.0,0.0
202407,경원선,옥수,20240803,0.0,0.0,1.0,43.0,6.0,58.0,42.0,22.0,233.0,234.0,29.0,25.0,48.0,183.0,16.0,198.0,20.0,106.0,31.0,18.0,18.0,8.0,19.0,18.0,350.0,80.0,311.0,60.0,73.0,67.0,318.0,26.0,54.0,12.0,66.0,13.0,20.0,13.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202407,경원선,응봉,20240803,136.0,0.0,1503.0,211.0,3386.0,1215.0,7478.0,1457.0,7819.0,2402.0,5024.0,1511.0,3660.0,1568.0,3290.0,1502.0,2658.0,1902.0,2541.0,2127.0,2470.0,2330.0,2638.0,2531.0,2809.0,3703.0,2803.0,4528.0,2868.0,5592.0,1601.0,5376.0,1297.0,2879.0,839.0,2605.0,709.0,2358.0,292.0,1485.0,19.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0
202407,경원선,왕십리(성동구청),20240803,952.0,6.0,6139.0,1495.0,9904.0,6893.0,30460.0,14433.0,45850.0,23424.0,29745.0,19279.0,18462.0,20388.0,18960.0,22956.0,23492.0,24731.0,25466.0,26394.0,27203.0,26132.0,30271.0,30098.0,34700.0,34883.0,38504.0,48570.0,37002.0,71971.0,29343.0,48842.0,28689.0,28990.0,31632.0,24354.0,27413.0,22821.0,12292.0,11760.0,1303.0,4042.0,0.0,2.0,0.0,0.0,0.0,0.0
202407,분당선,서울숲,20240803,161.0,2.0,3079.0,719.0,5488.0,6508.0,13826.0,26149.0,24237.0,51898.0,15678.0,40843.0,9298.0,24266.0,10939.0,18893.0,13032.0,19390.0,15346.0,21192.0,17612.0,19324.0,21574.0,19702.0,28746.0,21010.0,47560.0,24530.0,56513.0,31524.0,33976.0,20357.0,23641.0,10506.0,19133.0,8463.0,10976.0,7844.0,3186.0,3778.0,125.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0
